;Tag Type, Tag Name, Tag Description, Read Only, Data Source, Security Code, Alarmed, Native Type, Value Type, Min Analog, Max Analog, Initial Analog, Scale, Offset, DeadBand, Units, Off Label Digital, On Label Digital, Initial Digital, Length String, Initial String, Retentive, Address, System Source Name, System Source Index, RIO Address, Element Size Block, Number Elements Block, Initial Block
;###002 - THIS LINE CONTAINS VERSION INFORMATION. DO NOT REMOVE!!!,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;Folders Section (Must define folders before tags),,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,CC,,F,,,,,,,,,,,,,,,,,,,,,,,,,
F,CC\YAN_12,,F,,,,,,,,,,,,,,,,,,,,,,,,,
F,CC\YAN_12\DI,,F,,,,,,,,,,,,,,,,,,,,,,,,,
F,CC\YAN_REC,,F,,,,,,,,,,,,,,,,,,,,,,,,,
F,CC\YAN_REC\AI,,F,,,,,,,,,,,,,,,,,,,,,,,,,
F,CC\YAN_REC\DI,,F,,,,,,,,,,,,,,,,,,,,,,,,,
F,CC\YAN_REC\MOTOR,,F,,,,,,,,,,,,,,,,,,,,,,,,,
F,CC\YAN_REC\PID,,F,,,,,,,,,,,,,,,,,,,,,,,,,
F,CC\YAN_REC\VALVE,,F,,,,,,,,,,,,,,,,,,,,,,,,,
F,CC\YN_CARBON,,F,,,,,,,,,,,,,,,,,,,,,,,,,
F,CC\YN_CARBON\AI,,F,,,,,,,,,,,,,,,,,,,,,,,,,
F,CC\YN_CARBON\DI,,F,,,,,,,,,,,,,,,,,,,,,,,,,
F,CC\YN_CARBON\MOTOR,,F,,,,,,,,,,,,,,,,,,,,,,,,,
F,CC\YN_CARBON\PID,,F,,,,,,,,,,,,,,,,,,,,,,,,,
F,CC\YN_CARBON\SEQ,,F,,,,,,,,,,,,,,,,,,,,,,,,,
F,CC\YN_CARBON\VALVE,,F,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;Tag Section,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S,CC\YN_CARBON\MOTOR\PU09826_EEI_Description0,HCL STORAGE TANK LEVEL LOW LEVEL ALARM,F,M,*,F,,,,,,,,,,,,,80,HCL STORAGE TANK LEVEL LOW LEVEL ALARM,1,,,,,,,
